epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,,,0.18429890275001526,4.451822280883789
0,9,0.13437500596046448,12.48660659790039,,
1,19,,,0.1586901694536209,2.157796621322632
1,19,0.18906250596046448,7.01168966293335,,
2,29,,,0.18303945660591125,1.96161687374115
2,29,0.17031249403953552,2.67546010017395,,
3,39,,,0.15533165633678436,2.1923651695251465
3,39,0.18593749403953552,2.4551994800567627,,
4,49,,,0.38539043068885803,1.947799563407898
4,49,0.15312500298023224,2.289328098297119,,
5,59,,,0.08438286930322647,7.034539699554443
5,59,0.08749999850988388,2.8925931453704834,,
6,69,,,0.1469353437423706,5.103661060333252
6,69,0.15781250596046448,3.293201446533203,,
7,79,,,0.09529806673526764,4.295886516571045
7,79,0.18906250596046448,3.2140285968780518,,
8,89,,,0.185138538479805,2.4235332012176514
8,89,0.1953125,3.7581305503845215,,
9,99,,,0.19479429721832275,2.2448503971099854
9,99,0.18593749403953552,3.011848211288452,,
10,109,,,0.11335012316703796,2.7140414714813232
10,109,0.16562500596046448,3.5216012001037598,,
11,119,,,0.10579345375299454,2.615915536880493
11,119,0.15312500298023224,3.1946537494659424,,
12,129,,,0.09151972830295563,2.6032497882843018
12,129,0.1484375,4.1370720863342285,,
13,139,,,0.08606213331222534,2.5849897861480713
13,139,0.1171875,6.987764835357666,,
14,149,,,0.08816120773553848,2.571873664855957
14,149,0.12187500298023224,3.1675612926483154,,
15,159,,,0.08732157945632935,2.5589234828948975
15,159,0.10781250149011612,4.073416233062744,,
16,169,,,0.09026028215885162,2.6003246307373047
16,169,0.12031249701976776,9.184412956237793,,
17,179,,,0.09403862059116364,2.6149091720581055
17,179,0.12812499701976776,2.887387990951538,,
18,189,,,0.09781695902347565,2.565495729446411
18,189,0.125,3.3504638671875,,
19,199,,,0.08984047174453735,2.383197784423828
19,199,0.12968750298023224,6.994400978088379,,
20,209,,,0.08060453087091446,3.0969932079315186
20,209,0.11093749850988388,4.801321506500244,,
21,219,,,0.07808564603328705,2.330662965774536
21,219,0.10312499850988388,6.673727512359619,,
22,229,,,0.3098236918449402,2.2823257446289062
22,229,0.10312499850988388,7.5804643630981445,,
23,239,,,0.3094038665294647,2.2556369304656982
23,239,0.10000000149011612,2.526646137237549,,
24,249,,,0.3094038665294647,2.2319536209106445
24,249,0.10000000149011612,2.575190782546997,,
25,259,,,0.3094038665294647,2.2147328853607178
25,259,0.1015625,2.3769707679748535,,
26,269,,,0.3094038665294647,2.2048990726470947
26,269,0.10000000149011612,2.3701491355895996,,
27,279,,,0.3094038665294647,2.203298330307007
27,279,0.10000000149011612,2.359809398651123,,
28,289,,,0.3094038665294647,2.2106614112854004
28,289,0.10000000149011612,2.8717257976531982,,
29,299,,,0.07640638202428818,2.2276599407196045
29,299,0.08906249701976776,2.3490633964538574,,
30,309,,,0.07640638202428818,2.2524876594543457
30,309,0.1015625,2.3446223735809326,,
31,319,,,0.07640638202428818,2.2854397296905518
31,319,0.10000000149011612,2.4873642921447754,,
32,329,,,0.07640638202428818,2.3243486881256104
32,329,0.10000000149011612,2.3635928630828857,,
33,339,,,0.07640638202428818,2.367354154586792
33,339,0.10000000149011612,2.379333019256592,,
34,349,,,0.07682619988918304,2.410820722579956
34,349,0.10000000149011612,9.106474876403809,,
35,359,,,0.07682619988918304,2.4523940086364746
35,359,0.10000000149011612,2.4083521366119385,,
36,369,,,0.07682619988918304,2.4898388385772705
36,369,0.09843750298023224,74.67013549804688,,
37,379,,,0.07682619988918304,2.519770860671997
37,379,0.10000000149011612,3.693389892578125,,
38,389,,,0.07682619988918304,2.5417320728302
38,389,0.10000000149011612,2.4318509101867676,,
39,399,,,0.07682619988918304,2.555241584777832
39,399,0.10000000149011612,2.428316593170166,,
40,409,,,0.07682619988918304,2.561467409133911
40,409,0.10000000149011612,2.418895959854126,,
41,419,,,0.07682619988918304,2.5620322227478027
41,419,0.10000000149011612,6.332707405090332,,
42,429,,,0.07682619988918304,2.55828857421875
42,429,0.10000000149011612,2.3932077884674072,,
43,439,,,0.07682619988918304,2.5525264739990234
43,439,0.10000000149011612,2.37945556640625,,
44,449,,,0.07682619988918304,2.5457801818847656
44,449,0.10000000149011612,2.364990711212158,,
45,459,,,0.07682619988918304,2.5389535427093506
45,459,0.10000000149011612,2.3563008308410645,,
